,year,countyServed,max arsenic (ug/L)
860,2009,Yellow Medicine,6.4
861,2010,Aitkin,5.82
862,2010,Anoka,12.6
863,2010,Becker,15.7
864,2010,Beltrami,5.56
865,2010,Benton,2.61
866,2010,Big Stone,4.52
867,2010,Blue Earth,7.49
868,2010,Brown,4.86
869,2010,Carlton,4.51
870,2010,Carver,7.27
871,2010,Cass,25.3
872,2010,Chippewa,4.61
873,2010,Chisago,5.5
874,2010,Clay,5.83
875,2010,Clearwater,4.28
876,2010,Cook,3.69
877,2010,Cottonwood,0.5
878,2010,Crow Wing,8.17
879,2010,Dakota,14.8
880,2010,Dodge,2.93
881,2010,Douglas,7.06
882,2010,Faribault,8.38
883,2010,Fillmore,2.5
884,2010,Freeborn,9.28
885,2010,Goodhue,2.74
886,2010,Grant,30.4
887,2010,Hennepin,6.87
888,2010,Houston,0.5
889,2010,Hubbard,0.5
890,2010,Isanti,1.07
891,2010,Itasca,3.91
892,2010,Jackson,3.82
893,2010,Kanabec,5.08
894,2010,Kandiyohi,9.09
895,2010,Kittson,1.28
896,2010,Koochiching,14.1
897,2010,Lac Qui Parle,2.5
898,2010,Lake,0.5
899,2010,Lake of the Woods,3.23
900,2010,Le Sueur,5.47
901,2010,Lincoln,1.5
902,2010,Lyon,3.18
903,2010,Mahnomen,6.83
904,2010,Marshall,6.86
905,2010,Martin,7.86
906,2010,McLeod,27.3
907,2010,Meeker,6.22
908,2010,Mille Lacs,4.58
909,2010,Morrison,4.02
910,2010,Mower,3.92
911,2010,Murray,5.57
912,2010,Nicollet,2.51
913,2010,Nobles,2.26
914,2010,Norman,12.9
915,2010,Olmsted,2.27
916,2010,Otter Tail,11.1
917,2010,Pennington,2.5
918,2010,Pine,2.93
919,2010,Pipestone,4.44
920,2010,Polk,13.7
921,2010,Pope,11.4
922,2010,Ramsey,7.66
923,2010,Red Lake,3.9
924,2010,Redwood,3.66
925,2010,Renville,4.43
926,2010,Rice,5.27
927,2010,Rock,8.61
928,2010,Roseau,10.3
929,2010,Scott,4.62
930,2010,Sherburne,3.27
931,2010,Sibley,7.79
932,2010,St. Louis,5.73
933,2010,Stearns,6.94
934,2010,Steele,1.24
935,2010,Stevens,5.37
936,2010,Swift,5.27
937,2010,Todd,4.85
938,2010,Traverse,5.34
939,2010,Wabasha,1.91
940,2010,Wadena,1.62
941,2010,Waseca,3.79
942,2010,Washington,3.76
943,2010,Watonwan,4.95
944,2010,Wilkin,2.5
945,2010,Winona,1.02
946,2010,Wright,6.54
947,2010,Yellow Medicine,12.9
948,2011,Aitkin,5.82
949,2011,Anoka,12.4
950,2011,Becker,11.8
951,2011,Beltrami,5.56
952,2011,Benton,2.61
953,2011,Big Stone,4.52
954,2011,Blue Earth,7.49
955,2011,Brown,4.86
956,2011,Carlton,4.51
957,2011,Carver,11.8
958,2011,Cass,3.3
959,2011,Chippewa,4.61
960,2011,Chisago,5.15
961,2011,Clay,8.44
962,2011,Clearwater,4.28
963,2011,Cook,3.69
964,2011,Cottonwood,0.5
965,2011,Crow Wing,11.6
966,2011,Dakota,2.25
967,2011,Dodge,2.93
968,2011,Douglas,7.06
969,2011,Faribault,8.38
970,2011,Fillmore,2.5
971,2011,Freeborn,13.4
972,2011,Goodhue,2.74
973,2011,Grant,22.3
974,2011,Hennepin,6.19
975,2011,Houston,1.42
976,2011,Hubbard,0.5
977,2011,Isanti,1.07
978,2011,Itasca,3.91
979,2011,Jackson,12.5
980,2011,Kanabec,5.08
981,2011,Kandiyohi,9.09
982,2011,Kittson,1.28
983,2011,Koochiching,10.9
984,2011,Lac Qui Parle,4.1
985,2011,Lake,0.5
986,2011,Lake of the Woods,3.23
987,2011,Le Sueur,5.47
988,2011,Lincoln,1.5
989,2011,Lyon,3.69
990,2011,Mahnomen,6.83
991,2011,Marshall,6.86
992,2011,Martin,7.86
